data,recall,precision,F1 score
BTC_4H_24.csv,0.636,0.643,0.636
BTC_4H_30.csv,0.620,0.635,0.618
BTC_4H_720.csv,0.620,0.619,0.615
BTS_4H_24.csv,0.500,0.430,0.463
BTS_4H_30.csv,0.500,0.430,0.463
BTS_4H_720.csv,0.500,0.430,0.463
DASH_4H_24.csv,0.500,0.380,0.432
DASH_4H_30.csv,0.500,0.380,0.432
DASH_4H_720.csv,0.500,0.380,0.432
DGB_4H_24.csv,0.500,0.409,0.450
DGB_4H_30.csv,0.500,0.409,0.450
DGB_4H_720.csv,0.500,0.409,0.450
DOGE_4H_24.csv,0.500,0.358,0.417
DOGE_4H_30.csv,0.500,0.358,0.417
DOGE_4H_720.csv,0.496,0.358,0.416
ETH_4H_24.csv,0.507,0.532,0.409
ETH_4H_30.csv,0.514,0.659,0.396
ETH_4H_720.csv,0.500,0.281,0.360
IOC_4H_24.csv,0.500,0.310,0.383
IOC_4H_30.csv,0.500,0.310,0.383
IOC_4H_720.csv,0.496,0.309,0.381
LTC_4H_24.csv,0.510,0.863,0.439
LTC_4H_30.csv,0.510,0.863,0.439
LTC_4H_720.csv,0.500,0.361,0.419
MAID_4H_24.csv,0.500,0.398,0.443
MAID_4H_30.csv,0.500,0.398,0.443
MAID_4H_720.csv,0.500,0.398,0.443
MONA_4H_24.csv,0.583,0.602,0.569
MONA_4H_30.csv,0.606,0.625,0.596
MONA_4H_720.csv,0.540,0.682,0.440
NAV_4H_24.csv,0.500,0.377,0.430
NAV_4H_30.csv,0.500,0.377,0.430
NAV_4H_720.csv,0.500,0.377,0.430
SYS_4H_24.csv,0.500,0.495,0.497
SYS_4H_30.csv,0.500,0.495,0.497
SYS_4H_720.csv,0.500,0.495,0.497
VTC_4H_24.csv,0.500,0.484,0.492
VTC_4H_30.csv,0.500,0.484,0.492
VTC_4H_720.csv,0.500,0.484,0.492
XCP_4H_24.csv,0.500,0.422,0.458
XCP_4H_30.csv,0.500,0.422,0.458
XCP_4H_720.csv,0.481,0.420,0.448
XLM_4H_24.csv,0.500,0.369,0.425
XLM_4H_30.csv,0.500,0.369,0.425
XLM_4H_720.csv,0.500,0.369,0.425
XMR_4H_24.csv,0.500,0.390,0.438
XMR_4H_30.csv,0.500,0.390,0.438
XMR_4H_720.csv,0.500,0.390,0.438
XRP_4H_24.csv,0.500,0.337,0.403
XRP_4H_30.csv,0.504,0.588,0.418
XRP_4H_720.csv,0.500,0.337,0.403
all_4H_24.csv,0.501,0.620,0.428
all_4H_30.csv,0.500,0.370,0.425
all_4H_720.csv,0.500,0.370,0.425
